product_id,product,tool,prep_minutes,output_count,commercial_rate,edit_count,cost_usd
P1,304 不锈钢保温杯 350ml,Midjourney,6.0,2,0.76,1,0.08
P1,304 不锈钢保温杯 350ml,即梦,1.8,4,0.49,5,0.0
P1,304 不锈钢保温杯 350ml,香蕉,3.6,3,0.62,4,0.06
P2,北欧风陶瓷餐具 6 件套,Midjourney,6.4,3,0.81,2,0.12
P2,北欧风陶瓷餐具 6 件套,即梦,1.7,4,0.5,4,0.0
P2,北欧风陶瓷餐具 6 件套,香蕉,3.8,2,0.71,2,0.04
P3,纯棉毛巾三件套 100% 棉,Midjourney,6.1,2,0.88,3,0.08
P3,纯棉毛巾三件套 100% 棉,即梦,2.1,3,0.53,4,0.0
P3,纯棉毛巾三件套 100% 棉,香蕉,3.7,2,0.58,4,0.04
P4,便携折叠收纳袋 3 尺寸,Midjourney,3.0,4,0.88,2,0.16
P4,便携折叠收纳袋 3 尺寸,即梦,2.2,3,0.53,5,0.0
P4,便携折叠收纳袋 3 尺寸,香蕉,2.1,4,0.66,4,0.08
P5,硅胶厨具 5 件套（铲/夹/刷）,Midjourney,6.7,2,0.71,2,0.08
P5,硅胶厨具 5 件套（铲/夹/刷）,即梦,2.9,3,0.49,3,0.0
P5,硅胶厨具 5 件套（铲/夹/刷）,香蕉,2.6,3,0.64,1,0.06
