Day,Week,Week_Theme,Platform,Topic,Type,Tags,Cover_Tip,Status,Notes
D1,W1,定位与需求验证,小红书/抖音/公众号,公开做30天AI电商实验：不讲概念，只交作业,个人故事/立人设,涨粉向|共鸣型,大字「30天，只交作业」+ 小字「前端的AI电商实验」,TODO,
D2,W1,定位与需求验证,小红书/抖音,别急着推荐工具：先收集20个电商人的重复工作,工具清单,干货向|收藏向,四象限任务地图「先找任务，再选AI」,TODO,
D3,W1,定位与需求验证,小红书/公众号,同一款商品，3套AI流程写文案：结果差别比工具名更重要,技术教程,赚钱案例|信任向,A/B/C三列对比「工具相同，流程不同」,TODO,
D4,W1,定位与需求验证,小红书/抖音,AI写商品文案，最容易翻车的不是文风，而是这4类事实,横评对比,干货向|搜索向,红色检查章 + 四项清单「AI文案先查事实」,ready,
D5,W1,定位与需求验证,公众号/小红书,"程序员做电商的真正优势：把""凭感觉""变成可重复",观点输出,共鸣型|人设向,输入→流程→输出三段式「别先买工具，先做流程」,ready,
D6,W1,定位与需求验证,小红书/抖音,一人电商最累的，不是任务多，而是每天重新做一遍,情绪共鸣,高互动|涨粉向,重复循环箭头被切断「别再每天重做」,ready,
D7,W1,定位与需求验证,小红书/公众号,第一周实验复盘：什么有效、什么无效、下周测什么,福利互动,高转化|共创向,有效 / 无效 / 下周三栏复盘「第一周实验报告」,ready,
D8,W2,工作流验证,小红书,AI帮我把客服高频问题整理成自动回复库,工作流,干货向|收藏向,对话气泡+清单,TODO,
D9,W2,工作流验证,小红书/抖音,商品图片自动命名+分类：再也不用翻文件夹,自动化,教程向|涨粉向,文件夹+箭头,ready,
D10,W2,工作流验证,小红书/公众号,AI帮我做每日数据复盘：5分钟看完昨天发生了什么,自动化,工具向|收藏向,表格+警示色,ready,
D11,W2,工作流验证,公众号,Python串起Kimi API：第一个真AI自动化脚本,教程,涨粉向|技术向,代码截图+API,TODO,
D12,W2,工作流验证,小红书,3款AI工具跑同一任务，结果差异比想象的大,横评对比,搜索向|横评向,三列对比表,ready,
D13,W2,工作流验证,小红书/公众号,100个组件不如1个工作流：前端转电商的思维转变,观点,人设向|观点向,100 vs 1,ready,
D14,W2,工作流验证,小红书/公众号,第二周复盘：可复现的3套工作流沉淀,福利互动,共创向|高转化,模板清单+二维码,ready,
D15,W3,证据与案例积累,小红书/公众号,3个真实小团队用AI工作流省10h/周的故事,案例,收藏向|案例,3个头像 + 数字,TODO,
D16,W3,证据与案例积累,小红书,"按""内容/素材/客服/复盘""分类的12款AI工具",工具清单,工具向|收藏向,四象限工具地图,ready,
D17,W3,证据与案例积累,抖音/小红书,从0搭建第一段工作流自动化脚本,自动化,涨粉向|技术向,代码截图+流程,TODO,
D18,W3,证据与案例积累,公众号,工具堆vs工作流——为什么流程比工具重要,观点输出,人设向|观点向,对比图,TODO,
D19,W3,证据与案例积累,小红书,AI写商品文案的8个常见坑+对策,横评对比,搜索向|收藏向,红叉清单+对策,TODO,
D20,W3,证据与案例积累,小红书/抖音,小电商的真实一天：忙乱背后的隐性成本,情绪共鸣,涨粉向|共鸣向,时间轴图,TODO,
D21,W3,证据与案例积累,小红书,收集评论区问题，下周精选5个做直播解答,福利互动,高转化|共创向,问题清单+预告,TODO,
D22,W4,MVP需求验证,小红书,把评论/私信/群里最高频的10个需求整理成清单,调研,干货向,需求优先级表,TODO,
D23,W4,MVP需求验证,小红书/抖音,3款AI写作工具在商品文案上的盲测结果,工具测评,搜索向|工具向,横评表+分数,TODO,
D24,W4,MVP需求验证,抖音,"完整复现一个""商品→文案→上架""全流程",技术教程,涨粉向|教程向,流程图+截图,TODO,
D25,W4,MVP需求验证,公众号/小红书,2个真实小电商主分享使用工作流的反馈,用户案例,信任向|案例向,头像+引言,TODO,
D26,W4,MVP需求验证,公众号,30天总结：可复现≠可商业化，差什么,观点输出,人设向|观点向,双栏对比,TODO,
D27,W4,MVP需求验证,小红书,30天数据复盘：哪类内容最有效、哪类最差,数据,数据向,数据图+箭头,TODO,
D28,W4,MVP需求验证,小红书/公众号,30天实验收官：所有模板+数据集打包,福利互动,高转化|福利向,「收官+资源包」,TODO,
